borough,actual,forecast,naive,centre,samp_sd,origin_wave,target_wave,covid,lo_samp,hi_samp,cov_samp,lo_cal,hi_cal,cov_cal
E09000026,52.76636505126953,56.61537236625955,52.130604,57.02024487768715,1.5267678608684283,5,6,1,54.50871174655858,59.531778008815714,False,50.83080936549193,63.209680389882365,True
E09000027,72.23714447021484,71.11176037771104,71.994286,70.75170388199558,1.266483772361168,5,6,1,68.66833807646147,72.8350696875297,True,64.72329394482843,76.78011381916274,True
E09000028,70.50284576416016,70.9443048060266,68.99534,71.34077660069829,1.4649795081675456,5,6,1,68.93088530976267,73.75066789163391,True,65.1918832592104,77.48966994218618,True
E09000029,57.2406120300293,61.19352947673428,62.630642,61.106773615258206,1.6854970734444839,5,6,1,58.33413092944203,63.87941630107438,False,54.80686403225015,67.40668319826626,True
E09000030,59.0601921081543,65.4081526804027,61.67739,65.41611133482724,1.677438465219408,5,6,1,62.65672505954131,68.17549761011315,False,59.122024752399,71.71019791725547,False
E09000031,57.8258171081543,64.63051462305222,61.957443,64.97906219820693,1.6688510894585438,5,6,1,62.23380215604763,67.72432224036623,False,58.69115587018778,71.2669685262261,False
E09000032,74.44503021240234,73.07058091189822,71.2466,73.35118756030838,1.4575944066030746,5,6,1,70.95344476144632,75.74893035917043,True,67.20704532396962,79.49532979664713,True
E09000033,63.47019577026367,65.57615030912952,61.74305,65.83208316594107,1.458619113727607,5,6,1,63.43265472385916,68.23151160802298,True,59.68728291373283,71.97688341814931,True
E09000002,51.915950775146484,52.40057457489373,50.31465,52.421037408619824,1.099853516103111,6,7,0,50.611778374630205,54.23029644260944,True,46.481783958653246,58.3602908585864,True
E09000003,63.744754791259766,60.64976645273223,62.637806,60.49035677627579,1.387732590051118,6,7,0,58.2075366656417,62.77317688690988,False,54.390145226798,66.59056832575358,True
E09000004,60.09042739868164,59.33880509851146,54.49217,59.37807353019883,1.501308967684432,6,7,0,56.908420278357944,61.84772678203972,True,53.20551324493672,65.55063381546096,True
E09000005,57.525516510009766,55.280481159926275,54.121296,55.33536679179842,1.6683612886775177,6,7,0,52.59091247192391,58.079821111672935,True,49.04781219523667,61.62292138836017,True
E09000006,69.99305725097656,67.38174312596362,67.24204,67.49306387238265,1.3145048372406976,6,7,0,65.3307034151217,69.6554243296436,False,61.43690039721187,73.54922734755343,True
E09000007,71.0798568725586,69.97541423404951,68.81533,70.0061962088923,1.2199062197144226,6,7,0,67.99945047746208,72.01294194032253,True,64.00383486343165,76.00855755435296,True
E09000008,59.92057800292969,61.27069970646672,57.684273,61.20221325932611,1.2549660719582125,6,7,0,59.13779407095485,63.26663244769737,True,55.18032486147429,67.22410165717793,True
E09000009,64.22046661376953,60.420544846198595,58.82557,60.10618963115004,1.3866950896431016,6,7,0,57.825076208687136,62.38730305361294,False,54.00661655289225,66.20576270940784,True
E09000010,57.96626281738281,61.188615362046534,58.706486,61.10533150175816,1.3374163793071718,6,7,0,58.90528155779786,63.30538144571845,False,55.03560885185178,67.17505415166454,True
E09000011,59.9182014465332,63.447307969959276,65.53408,63.53614197293054,1.194482772999786,6,7,0,61.57121781134589,65.50106613451518,False,57.547632955516775,69.5246509903443,True
E09000012,69.972900390625,69.48282555988527,68.41668,69.56195071202276,1.399670514130333,6,7,0,67.25949271627837,71.86440870776715,True,63.454363126647166,75.66953829739836,True
E09000013,72.97427368164062,72.03692509151863,73.369705,72.2094362362298,1.1719922321228025,6,7,0,70.2815090143878,74.13736345807182,True,66.23296431179259,78.18590816066703,True
E09000014,66.13387298583984,66.49169149578488,64.65753,65.93326674668683,1.5397448622083858,6,7,0,63.400386448354034,68.46614704501962,True,59.73513832783737,72.13139516553629,True
E09000015,59.748313903808594,58.1737429082419,58.47798,58.09902051856078,1.567247828730011,6,7,0,55.52089784029991,60.677143196821646,True,51.882266555677106,64.31577448144445,True
E09000016,55.303924560546875,55.41288571553447,53.420937,55.087293779263504,1.4363651222529141,6,7,0,52.72447315315746,57.45011440536955,True,48.95669555380304,61.21789200472397,True
E09000017,60.850650787353516,56.81855667078699,54.20035,56.87205861152952,1.1117781264839024,6,7,0,55.043183593463496,58.70093362959554,False,50.92680023845835,62.81731698460069,True
E09000018,59.384639739990234,55.94362208532601,53.705006,55.86885775124065,1.5321778656999034,6,7,0,53.348425162164304,58.38929034031699,False,49.67580569858156,62.06190980389973,True
E09000019,70.36968231201172,73.54548790468591,72.76028,73.33606184365226,1.2456817290241684,6,7,0,71.2869153994075,75.38520828789702,False,67.31939213019551,79.35273155710901,True
E09000020,62.36250305175781,69.56838097130601,66.77879,69.56665276472869,1.1604882203191467,6,7,0,67.6576496423037,71.47565588715368,False,63.5962586226058,75.53704690685157,False
E09000021,70.95011901855469,67.66458058544202,66.45836,67.44561306108835,1.4382125294967465,6,7,0,65.0797534500662,69.8114726721105,False,61.31384292596972,73.57738319620698,True
E09000022,69.00801086425781,72.25095708275451,71.722534,72.15609242088762,0.9029937830572909,6,7,0,70.67066764775838,73.64151719401686,False,66.30734896203315,78.00483587974209,True
E09000023,69.62886810302734,67.32631178526742,68.043205,67.43622894770792,1.4649211070711754,6,7,0,65.02643372657583,69.84602416884,True,61.287373257528,73.58508463788783,True
E09000024,63.68129348754883,65.97459817898435,66.36223,65.95197880093056,1.4442631435779485,6,7,0,63.57616592974484,68.32779167211629,True,59.816361465261835,72.08759613659929,True
E09000025,61.13593673706055,58.05041863773575,56.02005,58.23687481226409,1.493672020711875,6,7,0,55.77978433819305,60.69396528633513,False,52.06933017208211,64.40441945244606,True
E09000026,60.239707946777344,56.565376251272326,52.766365,56.492340871840256,1.3731594520725372,6,7,0,54.23349357318093,58.75118817049958,False,50.40105985636187,62.58362188731864,True
E09000027,71.81072998046875,70.57209277892561,72.237144,70.54536983546731,1.1967643015138802,6,7,0,68.57669255947698,72.51404711145764,True,64.55562831284152,76.5351113580931,True
E09000028,65.766845703125,70.64160221546058,70.502846,70.7030230398331,1.5193644200737397,6,7,0,68.20366856881179,73.2023775108544,False,64.51851933600358,76.88752674366262,True
