variable,in_waves,n_waves,first_wave,last_wave,label_y_latest,value_scheme_stable,schemes_seen
ACTYRA_FRISBEE_I03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Frisbee or ultimate frisbee,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_FUTSAL_Q03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Futsal,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GARDENTRAMP_L14,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Garden trampolining,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GARD_B08,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Gardening,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GENERICFITNESS_E06,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Generic fitness training,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GLIDING_H08,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Gliding, paragliding or handgliding",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GOALBALL_F15,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Goalball,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GOLFADV_U11,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Adventure or crazy golf,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GOLFFULL_U08,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Full course golf,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GOLFSHORT_U09,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Short course golf, par 3, pitch and putt, putting",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GOLF_L08,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Golf,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GYMNASTICSONLY_U24,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Gymnastics,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GYMNASTICS_L13,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Gymnastics,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GYMTRAMPCHEER_C13,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Gymnastics, trampolining or cheerleading",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_GYM_E01,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Gym session,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_HANDBALL_F16,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Handball,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_HIGHROPES_H14,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: High ropes,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_HIIT_P24,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: High intensity,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_HILLWALK_H15,3;4;5;6;7;8,6,3,8,"Done 1-3 months ago: Hill and mountain walking, hiking, mountaineering",YES,"[w3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_HILLWALK_R03,1;2,2,1,2,"Done 1-3 months ago: Hill and mountain walking, hiking, mountaineering (ONLINE ONLY)",YES,"[w1,2] 0=No|1=Yes"
ACTYRA_HILLWALK_R06,3;4;5;6;7;8,6,3,8,Done 1-3 months ago: Hill or mountain walking or hiking,YES,"[w3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_HOCKEY_F09,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Hockey,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_HULAHOOP_P27,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Hula hooping,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ICEHOCKEY_K03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Ice hockey,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
